Epoch	Auc	Accuracy	loss
1	0.49688407994590333	0.659038615588267	0.6472440986406236
2	0.4978292039548273	0.6597658180743905	0.6414299238295782
3	0.5051671239941397	0.6597658180743905	0.6412670761346817
4	0.5171344394841519	0.6597658180743905	0.6409519882429213
5	0.5377570328996328	0.6597658180743905	0.6402734390326908
6	0.5666324765828711	0.6597658180743905	0.6387048448835101
7	0.5930111728648989	0.6597658180743905	0.6348953282549268
8	0.6238493918706345	0.661237266854906	0.6254998708055133
9	0.6667876976595483	0.679292341080691	0.6044729053974152
10	0.6976252866576207	0.6988245453564145	0.5833439550229481
11	0.7075340246088282	0.7040229068783129	0.5769903695299512
12	0.7119728030918518	0.7061022514870723	0.5741039982863835
13	0.7145056400179695	0.7074487123402853	0.5724772129740033
14	0.7162229760592587	0.7083577154479397	0.571371710726193
15	0.7174699948803233	0.7091701369754058	0.5705565689575105
16	0.7184177906882641	0.7098518893061465	0.5699292804513659
17	0.7191640032397133	0.7103007095905509	0.5694280692509243
18	0.7197757569286848	0.7106699921030355	0.5690142845823651
19	0.7202928927122285	0.7108233863774521	0.5686633703964097
20	0.7207412364471013	0.7110619996932115	0.5683589020655269
21	0.7211375836645395	0.711289250470125	0.5680897682905197
22	0.721492048493045	0.7113347006255077	0.5678482513342585
23	0.721815560986826	0.7115449075941528	0.5676287966115134
24	0.7221118451863873	0.7114710510916559	0.5674272743718964
25	0.7223877558310465	0.7117210269462608	0.5672404162940525
26	0.7226459783077988	0.7118176085264492	0.5670656976955277
27	0.7228889600342938	0.7117778396404892	0.5669011108222461
28	0.7231194275928239	0.7119539589925973	0.5667450027096839
29	0.7233393712985945	0.7120505405727856	0.5665960510571798
30	0.7235507806759766	0.7121016719975911	0.5664531553075427
31	0.7237556920523751	0.7124027792770017	0.5663153614316668
32	0.7239506093633552	0.7124879983183442	0.5661818920856431
33	0.7241420477925813	0.712601623706801	0.5660520767172178
34	0.7243280779910118	0.7127891055977548	0.5659253359550521
