Epoch	Auc	Accuracy	loss
1	0.4946669800984395	0.6583066766487443	0.646636365425019
2	0.5021139572928927	0.6601613012999388	0.640960978610175
3	0.5158820305043764	0.6601613012999388	0.6407267713830584
4	0.5377840158585996	0.6601613012999388	0.640217988263993
5	0.5693346262850635	0.6601613012999388	0.6390043915737242
6	0.5954605126851631	0.6601613012999388	0.6359468698501587
7	0.6173656907191929	0.6601613012999388	0.6284763124727067
8	0.652389327116274	0.6695592005263278	0.6119347384997776
9	0.6914790657826823	0.6946505138501328	0.5877397273268018
10	0.7068007791170503	0.7029594591528846	0.5776710524445489
1	0.7115938509316349	0.7057822357373031	0.5738006816023872
2	0.7141952081652239	0.7068771842236645	0.5721263363957405
3	0.7158445058703593	0.7078586665456361	0.5710330878694853
4	0.7170731187391339	0.7084089774429265	0.5702040216752461
5	0.7180326967055586	0.7090784278128263	0.5695484078356198
6	0.7188077285148595	0.709668451867653	0.5690168709982009
7	0.7194490798248149	0.7100542368265783	0.5685767836513973
8	0.719993173961448	0.7104627150183815	0.5682049904550824
9	0.7204652086254069	0.7106329142649662	0.5678848744857878
10	0.720880102070669	0.7109052330595017	0.567604423278854
1	0.4978841001867526	0.6584845250800427	0.6470037329764593
2	0.5083511647543314	0.6598412770498876	0.6407563523167655
3	0.5179469669477855	0.6598412770498876	0.6404957707439151
4	0.5329635883185455	0.6598412770498876	0.6399647643168768
5	0.558115982174597	0.6598412770498876	0.6387272349425724
6	0.5866214485139837	0.6598412770498876	0.6356195573295865
7	0.6169688351086677	0.6600342877903677	0.6274722126268205
8	0.6581340330705586	0.6754581166693159	0.6077296308108738
9	0.6934827943872102	0.6976089375326415	0.5850643991004854
10	0.7055691083005637	0.7038250187333954	0.5769580453634262
1	0.49657699954068685	0.6579741440545532	0.646666223804156
2	0.49643361207330355	0.6597698536723966	0.6412437962634223
3	0.5079603647832457	0.6597698536723966	0.6410472485281172
4	0.5277362987662455	0.6597698536723966	0.6406453642107192
5	0.5570354092503186	0.6597698536723966	0.6396873607521966
6	0.5907038150154671	0.6597698536723966	0.6371516038974127
7	0.6189061293085137	0.6597698536723966	0.6299309609901338
8	0.6531236193698989	0.6736809205853104	0.6107011238733927
9	0.6893150720509262	0.6963943742008808	0.5874252078079042
10	0.7047330174562375	0.7029066628782498	0.57788913945357
1	0.7093566893417432	0.7055723876058003	0.5742505778159414
2	0.7132520327923587	0.7077040262390505	0.571755764739854
3	0.7150972051809483	0.7086590003467466	0.5705364421010017
4	0.7164076288893697	0.7092388060549906	0.5696538278744334
5	0.7174005099554777	0.7098527179813666	0.5689768972141402
6	0.718184216609307	0.7101824114233093	0.5684371945403871
7	0.7188251601543482	0.710426839319922	0.5679946541786194
8	0.7193636955893656	0.7107508483921761	0.5676239445095971
9	0.7198242800306298	0.7109952762887887	0.5673080750164532
10	0.7202241916915286	0.7112226510763354	0.5670350495548475
1	0.7208082397953894	0.7113704943371995	0.5690470139185587
2	0.7213188994288346	0.7114159558568645	0.5686797776392528
3	0.7216251738684043	0.7114045904769482	0.5684580089790481
4	0.7219158799235083	0.7116318980752729	0.5682523686970983
5	0.7221907889023542	0.7119785421627182	0.5680616309955007
6	0.7224458648049832	0.712160388241378	0.5678860651595252
7	0.7226822707356871	0.7121433401715036	0.5677249477732749
8	0.7229016581255376	0.7122683593505822	0.567576327139423
9	0.7231066480789548	0.7124104265995351	0.5674380145612217
10	0.7233000594489567	0.7124672534991163	0.567308266957601
